STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/8/2001,0,71,88,54
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/9/2001,0,73,87,58
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/10/2001,0,66,80,51
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/11/2001,0,62,79,44
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/12/2001,0,64,79,49
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/13/2001,0,67,85,48
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/14/2001,0,74,84,63
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/15/2001,0,74,83,64
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/16/2001,0,73,86,60
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/17/2001,0.23,72,84,60
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/18/2001,0.21,71,81,60
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/19/2001,0.52,71,81,60
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/20/2001,0.01,71,81,61
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/21/2001,0,75,88,62
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/22/2001,0,77,90,64
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/23/2001,0.04,79,90,67
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/24/2001,0,64,74,53
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/25/2001,0,57,66,47
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/26/2001,0,57,69,44
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/27/2001,0.12,62,75,49
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/28/2001,1.1,62,68,56
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/29/2001,0.03,62,65,58
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/30/2001,1.08,69,80,58
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,7/31/2001,0,77,89,64
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,8/1/2001,1.55,78,84,72
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,8/2/2001,0,71,81,60
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,8/3/2001,0.01,71,86,56
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,8/4/2001,0,76,91,61
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,8/5/2001,0,81,92,70
USW00094929,ASHLAND KENNEDY MEMORIAL AIRPORT,46.54861,-90.91889,251.8,8/6/2001,0,83,94,72
